"pop2024","pop2020","growth","name","aland_sqmi","intptlat","intptlong","slug","usps","lng","lat","rank","density"
74393,78975,-0.01334,"Bellflower",6.119,33.8878,-118.127,"bellflower-ca","CA",-118.127,33.8878,123,12158
74259,79676,-0.0161,"Pleasanton",24.147,37.6672,-121.881,"pleasanton-ca","CA",-121.881,37.6672,124,3075
73148,72524,0.00749,"Dublin",15.229,37.7162,-121.896,"dublin-ca","CA",-121.896,37.7162,125,4803
72684,70333,0.00544,"Lake Elsinore",38.265,33.686,-117.335,"lake-elsinore-ca","CA",-117.335,33.686,126,1899
72495,72694,0.00128,"Turlock",16.923,37.5046,-120.857,"turlock-ca","CA",-120.857,37.5046,127,4284
70503,69255,-0.00135,"Tulare",20.371,36.1994,-119.342,"tulare-ca","CA",-119.342,36.1994,128,3461
69594,65766,0,"Eastvale",12.671,33.9633,-117.582,"eastvale-ca","CA",-117.582,33.9633,129,5492
69038,70830,-0.00893,"Camarillo",19.68,34.2218,-119.032,"camarillo-ca","CA",-119.032,34.2218,130,3508
68519,64463,0.01777,"Brentwood",14.859,37.9356,-121.719,"brentwood-ca","CA",-121.719,37.9356,131,4611
68420,66461,0.00271,"Madera",16.33,36.9631,-120.078,"madera-ca","CA",-120.078,36.9631,132,4190
68032,69949,-0.00717,"Yuba City",14.9,39.1386,-121.64,"yuba-city-ca","CA",-121.64,39.1386,133,4566
67728,66443,0.00348,"Lodi",13.638,38.1216,-121.291,"lodi-ca","CA",-121.291,38.1216,134,4966
67243,71971,-0.01618,"Baldwin Park",6.631,34.0828,-117.971,"baldwin-park-ca","CA",-117.971,34.0828,135,10141
67181,70039,-0.01313,"Walnut Creek",19.757,37.9027,-122.04,"walnut-creek-ca","CA",-122.04,37.9027,136,3400
67012,66760,-0.00027,"Davis",9.887,38.5561,-121.738,"davis-ca","CA",-121.738,38.5561,137,6778
66958,71333,-0.01442,"Redondo Beach",6.198,33.8568,-118.377,"redondo-beach-ca","CA",-118.377,33.8568,138,10803
65444,64392,0,"Castro Valley",16.59,37.7083,-122.063,"castro-valley-ca","CA",-122.063,37.7083,139,3945
65417,68330,-0.01262,"Yorba Linda",19.842,33.889,-117.772,"yorba-linda-ca","CA",-117.772,33.889,140,3297
64560,68385,-0.01111,"Palo Alto",23.853,37.3998,-122.143,"palo-alto-ca","CA",-122.143,37.3998,141,2707
64391,69985,-0.02015,"Union City",19.4,37.603,-122.019,"union-city-ca","CA",-122.019,37.603,142,3319
63418,62666,0.00332,"Porterville",18.609,36.0635,-119.034,"porterville-ca","CA",-119.034,36.0635,143,3408
63132,64787,0,"Florence-Graham",3.509,33.9682,-118.245,"florence--graham-ca","CA",-118.245,33.9682,144,17991
62946,64226,-0.00628,"Laguna Niguel",14.741,33.5287,-117.701,"laguna-niguel-ca","CA",-117.701,33.5287,145,4270
62687,64257,-0.0061,"San Clemente",18.354,33.4491,-117.613,"san-clemente-ca","CA",-117.613,33.4491,146,3415
62610,66815,-0.01165,"Lynwood",4.84,33.924,-118.202,"lynwood-ca","CA",-118.202,33.924,147,12936
61730,66124,-0.01401,"South San Francisco",9.226,37.6551,-122.376,"south-san-francisco-ca","CA",-122.376,37.6551,148,6691
61310,61051,-0.00124,"Woodland",15.307,38.6712,-121.75,"woodland-ca","CA",-121.75,38.6712,149,4005
60736,63096,-0.01012,"La Habra",7.354,33.9279,-117.952,"la-habra-ca","CA",-117.952,33.9279,150,8259
60571,61988,-0.00654,"Encinitas",19.054,33.0506,-117.264,"encinitas-ca","CA",-117.264,33.0506,151,3179
59614,61070,-0.00622,"La Mesa",9.095,32.7695,-117.022,"la-mesa-ca","CA",-117.022,32.7695,152,6555
59457,62410,-0.00926,"Montebello",8.332,34.0154,-118.111,"montebello-ca","CA",-118.111,34.0154,153,7136
58561,59952,-0.00417,"Santee",16.539,32.855,-116.986,"santee-ca","CA",-116.986,32.855,154,3541
58505,53523,0.01877,"Beaumont",30.317,33.8767,-116.953,"beaumont-ca","CA",-116.953,33.8767,155,1930
58474,58098,0.00003,"Hanford",17.4,36.3274,-119.655,"hanford-ca","CA",-119.655,36.3274,156,3361
58285,61130,-0.01426,"San Rafael",16.568,37.981,-122.507,"san-rafael-ca","CA",-122.507,37.981,157,3518
57951,61890,-0.01554,"Pico Rivera",8.295,33.9895,-118.089,"pico-rivera-ca","CA",-118.089,33.9895,158,6986
57785,59383,-0.0019,"Gilroy",16.537,37.0064,-121.585,"gilroy-ca","CA",-121.585,37.0064,159,3494
57383,58616,0,"South Whittier",5.337,33.9331,-118.031,"south-whittier-ca","CA",-118.031,33.9331,160,10752
57226,53914,0.01925,"West Sacramento",21.47,38.5544,-121.549,"west-sacramento-ca","CA",-121.549,38.5544,161,2665
57087,60875,-0.01515,"Gardena",5.829,33.8944,-118.308,"gardena-ca","CA",-118.308,33.8944,162,9794
56778,59776,-0.01623,"Petaluma",14.415,38.2423,-122.629,"petaluma-ca","CA",-122.629,38.2423,163,3939
56490,60891,-0.01794,"Monterey Park",7.673,34.0484,-118.133,"monterey-park-ca","CA",-118.133,34.0484,164,7362
56412,60157,-0.01264,"Cupertino",11.311,37.3194,-122.045,"cupertino-ca","CA",-122.045,37.3194,165,4987
56286,49817,0.03448,"Lincoln",23.509,38.8784,-121.291,"lincoln-ca","CA",-121.291,38.8784,166,2394
55885,57034,-0.00728,"Highland",18.748,34.1135,-117.166,"highland-ca","CA",-117.166,34.1135,167,2981
55836,54064,0.00329,"San Jacinto",25.713,33.7951,-116.992,"san-jacinto-ca","CA",-116.992,33.7951,168,2172
55461,55386,0,"Hacienda Heights",11.178,33.9959,-117.973,"hacienda-heights-ca","CA",-117.973,33.9959,169,4962
54910,56967,-0.0092,"Fountain Valley",9.071,33.7106,-117.951,"fountain-valley-ca","CA",-117.951,33.7106,170,6053
54796,56115,-0.00683,"National City",7.292,32.6652,-117.099,"national-city-ca","CA",-117.099,32.6652,171,7515
53903,56466,-0.00877,"Arcadia",10.925,34.1327,-118.036,"arcadia-ca","CA",-118.036,34.1327,172,4934
53834,54586,-0.00541,"Yucaipa",28.293,34.0336,-117.043,"yucaipa-ca","CA",-117.043,34.0336,173,1903
53381,51723,0.01358,"Placentia",6.614,33.8812,-117.855,"placentia-ca","CA",-117.855,33.8812,174,8071
53210,53970,-0.00661,"Colton",15.542,34.0545,-117.325,"colton-ca","CA",-117.325,34.0545,175,3424
53022,51569,0.005,"Cathedral City",22.485,33.8355,-116.463,"cathedral-city-ca","CA",-116.463,33.8355,176,2358
51567,51200,-0.00016,"Palm Desert",26.811,33.7376,-116.364,"palm-desert-ca","CA",-116.364,33.7376,177,1923
51193,49852,0.00343,"Delano",14.285,35.766,-119.264,"delano-ca","CA",-119.264,35.766,178,3584
51039,54896,-0.01748,"Diamond Bar",14.871,34.0016,-117.818,"diamond-bar-ca","CA",-117.818,34.0016,179,3432
50744,53100,-0.01399,"Novato",27.448,38.0851,-122.548,"novato-ca","CA",-122.548,38.0851,180,1849
50731,54712,-0.0184,"Huntington Park",3.013,33.9792,-118.217,"huntington-park-ca","CA",-118.217,33.9792,181,16837
50541,52506,-0.00964,"Watsonville",6.688,36.9196,-121.77,"watsonville-ca","CA",-121.77,36.9196,182,7557
49992,48839,0,"Florin",8.704,38.4832,-121.404,"florin-ca","CA",-121.404,38.4832,183,5744
49989,53578,-0.01637,"Paramount",4.729,33.8989,-118.167,"paramount-ca","CA",-118.167,33.8989,184,10571
49861,52205,-0.01345,"Aliso Viejo",6.919,33.5792,-117.729,"aliso-viejo-ca","CA",-117.729,33.5792,185,7206
49757,47152,0.01443,"San Luis Obispo",13.327,35.2635,-120.662,"san-luis-obispo-ca","CA",-120.662,35.2635,186,3734
49288,52497,-0.01534,"Glendora",19.509,34.145,-117.848,"glendora-ca","CA",-117.848,34.145,187,2526
